code;id;name;mainRoute;routeIds
552954;MTA_552954;21 ST/31 AV;MTABC_Q69;['MTABC_Q69']
552956;MTA_552956;DITMARS BL/21 ST;MTABC_Q69;['MTABC_Q69']
552963;MTA_552963;DITMARS BL/77 ST;MTABC_Q69;['MTABC_Q69']
552972;MTA_552972;DITMARS BL/72 ST;MTABC_Q69;['MTABC_Q69']
553026;MTA_553026;21 ST/24 AV;MTABC_Q69;['MTABC_Q69', 'MTABC_Q100']
553028;MTA_553028;21 ST/HOYT AV N;MTABC_Q69;['MTABC_Q69']
553033;MTA_553033;QUEENS PLZ S/24 ST;MTABC_Q69;['MTABC_Q39', 'MTABC_Q66', 'MTABC_Q69']
553040;MTA_553040;21 ST/BROADWAY;MTABC_Q69;['MTABC_Q69', 'MTABC_Q100']
553060;MTA_553060;44 DR/21 ST;MTABC_Q69;['MTABC_Q69']
553074;MTA_553074;21 ST/25 RD;MTABC_Q69;['MTABC_Q69']
553075;MTA_553075;21 ST/23 DR;MTABC_Q69;['MTABC_Q69']
553076;MTA_553076;21 ST/23 AV;MTABC_Q69;['MTABC_Q69']
553077;MTA_553077;21 ST/DITMARS BL;MTABC_Q69;['MTABC_Q69']
553078;MTA_553078;DITMARS BL/24 ST;MTABC_Q69;['MTABC_Q69']
553079;MTA_553079;DITMARS BL/26 ST;MTABC_Q69;['MTABC_Q69']
553080;MTA_553080;DITMARS BL/28 ST;MTABC_Q69;['MTABC_Q69']
553082;MTA_553082;DITMARS BL/42 ST;MTABC_Q69;['MTABC_Q69']
553083;MTA_553083;DITMARS BL/45 ST;MTABC_Q69;['MTABC_Q69']
553084;MTA_553084;DITMARS BL/47 ST;MTABC_Q69;['MTABC_Q69']
553085;MTA_553085;DITMARS BL/49 ST;MTABC_Q69;['MTABC_Q69']
553086;MTA_553086;DITMARS BL/71 ST;MTABC_Q69;['MTABC_Q69']
553087;MTA_553087;DITMARS BL/73 ST;MTABC_Q69;['MTABC_Q69']
553090;MTA_553090;DITMARS BL/81 ST;MTABC_Q69;['MTABC_Q69']
553093;MTA_553093;DITMARS BL/HAZEN ST;MTABC_Q69;['MTABC_Q69']
553094;MTA_553094;DITMARS BL/47 ST;MTABC_Q69;['MTABC_Q69']
553098;MTA_553098;DITMARS BL/35 ST;MTABC_Q69;['MTABC_Q69']
553099;MTA_553099;DITMARS BL/27 ST;MTABC_Q69;['MTABC_Q69']
553100;MTA_553100;DITMARS BL/CRESCENT ST;MTABC_Q69;['MTABC_Q69']
553101;MTA_553101;21 ST/22 DR;MTABC_Q69;['MTABC_Q69']
553102;MTA_553102;21 ST/24 AV;MTABC_Q69;['MTABC_Q69', 'MTABC_Q100']
553116;MTA_553116;78 ST/ASTORIA BL;MTABC_Q69;['MTABC_Q69']
553125;MTA_553125;21 ST/23 DR;MTABC_Q69;['MTABC_Q69']
982098;MTA_982098;28 ST/QUEENS PLZ S;MTABC_Q69;['MTABC_Q39', 'MTABC_Q66', 'MTABC_Q69']
982173;MTA_982173;ASTORIA BL/82 ST;MTABC_Q69;['MTABC_Q69']
982224;MTA_982224;21 ST/ASTORIA PARK SOUTH;MTABC_Q69;['MTABC_Q69']
500994;MTA_500994;MAIN ST/NORTHERN BL;MTABC_Q66;['MTABC_Q19', 'MTA NYCT_Q20A', 'MTA NYCT_Q20B', 'MTABC_Q25', 'MTABC_Q34', 'MTABC_Q50', 'MTABC_Q65', 'MTABC_Q66']
503845;MTA_503845;ROOSEVELT AV/MAIN ST;MTABC_Q66;['MTABC_Q19', 'MTABC_Q50', 'MTABC_Q66']
505066;MTA_505066;28 ST/QUEENS PLZ S;MTABC_Q66;['MTABC_Q66']
505227;MTA_505227;39 AV/MAIN ST;MTABC_Q66;['MTABC_Q19', 'MTABC_Q50', 'MTABC_Q66']
551761;MTA_551761;NORTHERN BL/MAIN ST;MTABC_Q66;['MTABC_Q19', 'MTABC_Q66']
551851;MTA_551851;35 AV/CRESCENT ST;MTABC_Q66;['MTABC_Q66']
551852;MTA_551852;35 AV/31 ST;MTABC_Q66;['MTABC_Q66']
551853;MTA_551853;35 AV/31 ST;MTABC_Q66;['MTABC_Q66']
551855;MTA_551855;35 AV/35 ST;MTABC_Q66;['MTABC_Q66']
551856;MTA_551856;NORTHERN BL/WOODSIDE AV;MTABC_Q66;['MTABC_Q66']
551857;MTA_551857;35 AV/STEINWAY ST;MTABC_Q66;['MTABC_Q66']
551858;MTA_551858;35 AV/STEINWAY ST;MTABC_Q66;['MTABC_Q66']
551859;MTA_551859;NORTHERN BL/42 PL;MTABC_Q66;['MTABC_Q66']
551860;MTA_551860;NORTHERN BL/48 ST;MTABC_Q66;['MTABC_Q66']
551861;MTA_551861;NORTHERN BL/54 ST;MTABC_Q66;['MTABC_Q66']
551864;MTA_551864;NORTHERN BL/60 ST;MTABC_Q66;['MTABC_Q66']
551867;MTA_551867;NORTHERN BL/69 ST;MTABC_Q66;['MTABC_Q66']
551870;MTA_551870;NORTHERN BL/74 ST;MTABC_Q66;['MTABC_Q66']
551871;MTA_551871;NORTHERN BL/74 ST;MTABC_Q66;['MTABC_Q66']
551874;MTA_551874;NORTHERN BL/78 ST;MTABC_Q66;['MTABC_Q66']
551875;MTA_551875;NORTHERN BL/78 ST;MTABC_Q66;['MTABC_Q66']
551878;MTA_551878;NORTHERN BL/82 ST;MTABC_Q66;['MTABC_Q66']
551879;MTA_551879;NORTHERN BL/82 ST;MTABC_Q66;['MTABC_Q66']
551881;MTA_551881;NORTHERN BL/85 ST;MTABC_Q66;['MTABC_Q66']
551885;MTA_551885;NORTHERN BL/93 ST;MTABC_Q66;['MTABC_Q66']
551886;MTA_551886;NORTHERN BL/JUNCTION BL;MTABC_Q66;['MTABC_Q66']
551887;MTA_551887;NORTHERN BL/JUNCTION BL;MTABC_Q66;['MTABC_Q66']
551888;MTA_551888;NORTHERN BL/97 ST;MTABC_Q66;['MTABC_Q66']
551890;MTA_551890;NORTHERN BL/101 ST;MTABC_Q66;['MTABC_Q66']
551892;MTA_551892;NORTHERN BL/105 ST;MTABC_Q66;['MTABC_Q66']
551893;MTA_551893;NORTHERN BL/108 ST;MTABC_Q66;['MTABC_Q66']
551894;MTA_551894;NORTHERN BL/108 ST;MTABC_Q66;['MTABC_Q66']
551897;MTA_551897;NORTHERN BL/114 ST;MTABC_Q66;['MTABC_Q66']
